Country,2020,2021,2022,2023,Average gold reserves
United States of America,8133.46,8133.47,8133.46,8133.46,8133.4625
Germany,3362.45,3359.09,3355.14,3352.65,3357.3325
Italy,2451.84,2451.84,2451.84,2451.84,2451.84
France,2436.19,2436.47,2436.75,2436.97,2436.595
Russian Federation,2298.53,2301.64,2332.74,2332.74,2316.4125
China,1948.31,1948.31,2010.51,2235.39,2035.63
Switzerland,1040,1040,1040,1040,1040
Japan,765.22,845.97,845.97,845.97,825.7825
India,676.64,754.1,787.36,803.58,755.42
Netherlands,612.45,612.45,612.45,612.45,612.45
Turkey,394.64,394.2,541.77,540.19,467.7
"Taiwan, China",423.63,423.63,423.63,422.38,423.3175
Portugal,382.57,382.57,382.57,382.63,382.585
Uzbekistan,332.49,362.04,395.94,371.37,365.46
Poland,228.66,230.84,228.67,358.69,261.715
Saudi Arabia,323.07,323.07,323.07,323.07,323.07
United Kingdom,310.29,310.29,310.29,310.29,310.29
Kazakhstan,387.86,402.38,351.67,294.23,359.035
Spain,281.58,281.58,281.58,281.58,281.58
Austria,279.99,279.99,279.99,279.99,279.99
Thailand,153.96,244.16,244.16,244.16,221.61
Singapore,127.4,153.74,153.74,230.04,166.23
Belgium,227.4,227.4,227.4,227.4,227.4
Algeria,173.56,173.56,173.56,173.56,173.56
Philippines,188.78,158.81,157.72,159.05,166.09
Libya,116.64,116.64,116.64,146.65,124.1425
Iraq,96.42,96.42,130.32,142.58,116.435
Brazil,67.36,129.65,129.65,129.65,114.0775
Egypt,80.23,80.91,125.63,126.3,103.2675
Sweden,125.72,125.72,125.72,125.72,125.72
South Africa,125.35,125.35,125.38,125.41,125.3725
Mexico,120.06,120.03,120.03,120.13,120.0625
Greece,113.9,114.06,114.24,114.4,114.15
South Korea,104.45,104.45,104.45,104.45,104.45
Romania,103.65,103.64,103.62,103.62,103.6325
Qatar,56.71,56.73,91.78,100.95,76.5425
Hungary,31.51,94.49,94.49,94.49,78.745
Australia,79.85,79.85,79.85,79.85,79.85
Kuwait,78.97,78.97,78.97,78.97,78.97
Indonesia,78.57,78.57,78.57,78.57,78.57
United Arab Emirates,57.6,55.43,74.98,74.5,65.6275
Jordan,61.41,64.54,68.82,71.18,66.4875
Denmark,66.55,66.55,66.55,66.55,66.55
Pakistan,64.64,64.65,64.65,64.66,64.65
Argentina,61.74,54.77,61.74,61.74,59.9975
Belarus,50.02,53.37,53.91,54.02,52.83
Finland,49.14,49.02,49.02,49.02,49.05
Cambodia,45.47,50.45,52.56,42.61,47.7725
Bulgaria,40.83,40.83,40.84,40.86,40.84
Serbia,35.65,37.34,38.47,39.95,37.8525
Malaysia,38.88,38.88,38.88,38.88,38.88
Peru,34.67,34.67,34.67,34.67,34.67
Slovakia,31.69,31.69,31.69,31.69,31.69
Czech Republic,9.49,10.58,11.96,30.67,15.675
Ukraine,26.13,27.06,27.06,27.06,26.8275
Ecuador,31.27,31.27,33.78,26.28,30.65
Bolivia,42.51,42.51,42.51,23.51,37.76
Morocco,22.12,22.12,22.12,22.12,22.12
Kyrgyzstan,16.77,10.19,16.39,21.57,16.23
Bangladesh,13.97,13.97,14.03,14.05,14.005
Cyprus,13.9,13.9,13.9,13.9,13.9
Mauritius,12.44,12.44,12.43,12.42,12.4325
Ireland,6,9.52,12.04,12.04,9.9
Ghana,8.74,8.74,8.74,8.74,8.74
Paraguay,8.19,8.19,8.19,8.19,8.19
Nepal,6.43,7.99,7.99,7.99,7.6
Guatemala,6.89,6.89,6.89,6.89,6.89
North Macedonia,6.89,6.89,6.89,6.89,6.89
Tunisia,6.84,6.84,6.84,6.84,6.84
Latvia,6.66,6.66,6.66,6.66,6.66
Mongolia,8.16,9.67,6.52,6.03,7.595
Lithuania,5.82,5.82,5.82,5.82,5.82
Colombia,4.14,4.68,4.68,4.68,4.545
Bahrain,4.67,4.67,4.67,4.67,4.67
Mozambique,3.94,3.94,3.94,3.94,3.94
Albania,2.8,2.8,3.11,3.42,3.0325
Slovenia,3.17,3.17,3.17,3.17,3.17
Aruba,3.11,3.11,3.11,3.11,3.11
Luxembourg,2.27,2.24,2.24,2.24,2.2475
Hong Kong SAR,2.08,2.08,2.08,2.08,2.08
Iceland,1.98,1.98,1.98,1.98,1.98
Papua New Guinea,1.33,1.33,1.33,1.96,1.4875
Trinidad and Tobago,1.94,1.94,1.94,1.95,1.9425
Haiti,1.81,1.79,1.81,1.81,1.805
Bosnia and Herzegovina,2.99,2.99,1.49,1.49,2.24
Suriname,1.46,1.46,1.46,1.46,1.46
Honduras,0.69,0.69,0.69,0.69,0.69
Dominican Republic,0.57,0.57,0.57,0.57,0.57
Malta,0.19,0.09,0.06,0.28,0.155
Estonia,0.25,0.25,0.25,0.25,0.25
Chile,0.25,0.25,0.25,0.25,0.25
Uruguay,0.1,0.1,0.1,0.1,0.1
Fiji,0.03,0.03,0.03,0.03,0.03
Burundi,0.03,0.03,0.03,0.03,0.03
Kenya,0.02,0.02,0.02,0.02,0.02
Comoros,0.02,0.02,0.02,0.02,0.02
Azerbaijan,0,0,0,0,0
Norway,0,0,0,0,0
Canada,0,0,0,0,0
Croatia,0,0,1.93,0,0.4825
Armenia,0,0,0,0,0
Nicaragua,0,0,0,0,0
